id	name	source	features	aliases
ftr00156	Citrate lyase, subunit 2 (EC 2.3.3.8)	ModelSEED	null	ModelSEED:msfr.156
ftr00158	Xylitol dehydrogenase (EC 1.1.1.9)	ModelSEED	null	ModelSEED:msfr.158
ftr00159	D-arabinitol 4-dehydrogenase (EC 1.1.1.11)	ModelSEED	null	ModelSEED:msfr.159
ftr00160	Ribitol 2-dehydrogenase (EC 1.1.1.56)	ModelSEED	null	ModelSEED:msfr.160
ftr00161	Multiple polyol-specific dehydrogenase (EC 1.1.1.-)	ModelSEED	null	ModelSEED:msfr.161
ftr00163	Ribitol/Xylitol/Arabitol transporter, MFS superfamily	ModelSEED	null	ModelSEED:msfr.163
ftr00164	Various polyols ABC transporter, periplasmic substrate-binding protein	ModelSEED	null	ModelSEED:msfr.164
ftr00165	Various polyols ABC transporter, permease component 1	ModelSEED	null	ModelSEED:msfr.165
ftr00166	Various polyols ABC transporter, permease component 2	ModelSEED	null	ModelSEED:msfr.166
ftr00167	Various polyols ABC transporter, ATP-binding component	ModelSEED	null	ModelSEED:msfr.167
ftr00168	Xylulose kinase (EC 2.7.1.17)	ModelSEED	null	ModelSEED:msfr.168
ftr00169	Fructokinase (EC 2.7.1.4)	ModelSEED	null	ModelSEED:msfr.169
ftr00170	D-ribulokinase (EC 2.7.1.47)	ModelSEED	null	ModelSEED:msfr.170
ftr00171	Sorbitol dehydrogenase (EC 1.1.1.14)	ModelSEED	null	ModelSEED:msfr.171
ftr00172	Glucitol/sorbitol-specific transport protein gutA	ModelSEED	null	ModelSEED:msfr.172
ftr00173	Sorbitol operon transcription regulator	ModelSEED	null	ModelSEED:msfr.173
ftr00174	Transcriptional regulator of various polyols utilization, AraC family	ModelSEED	null	ModelSEED:msfr.174
ftr00175	6-phosphofructokinase (EC 2.7.1.11), PF08013 family	ModelSEED	null	ModelSEED:msfr.175
ftr00176	Transcriptional regulator of xylitol utilization, LacI family	ModelSEED	null	ModelSEED:msfr.176
ftr00177	Xylitol ABC transporter, periplasmic substrate-binding protein	ModelSEED	null	ModelSEED:msfr.177
ftr00178	Xylitol ABC transporter, permease component	ModelSEED	null	ModelSEED:msfr.178
ftr00179	Xylitol ABC transporter, ATP-binding component	ModelSEED	null	ModelSEED:msfr.179
ftr00180	Predicted mannitol permease	ModelSEED	null	ModelSEED:msfr.180
ftr00181	Transcriptional regulator of mannitol utilization, DeoR family protein	ModelSEED	null	ModelSEED:msfr.181
ftr00182	Hydrolase in polyol utilization gene cluster, haloacid dehalogenase-like family	ModelSEED	null	ModelSEED:msfr.182
ftr00183	Beta-lactamase repressor BlaI	ModelSEED	null	ModelSEED:msfr.183
ftr00184	Beta-lactamase regulatory sensor-transducer BlaR1	ModelSEED	null	ModelSEED:msfr.184
ftr00185	Beta-lactamase (EC 3.5.2.6)	ModelSEED	null	ModelSEED:msfr.185
ftr00186	Beta-lactamase class A	ModelSEED	null	ModelSEED:msfr.186
ftr00187	Methicillin resistance repressor MecI	ModelSEED	null	ModelSEED:msfr.187
ftr00188	Methicillin resistance regulatory sensor-transducer MecR1	ModelSEED	null	ModelSEED:msfr.188
ftr00189	Penicillin-binding protein PBP2a, methicillin resistance determinant MecA, transpeptidase	ModelSEED	null	ModelSEED:msfr.189
ftr00196	Integrase, phage associated	ModelSEED	null	ModelSEED:msfr.196
ftr00197	Salicylate hydroxylase (EC 1.14.13.1)	ModelSEED	null	ModelSEED:msfr.197
ftr00198	regulator protein,SalR	ModelSEED	null	ModelSEED:msfr.198
ftr00199	salicylate esterase	ModelSEED	null	ModelSEED:msfr.199
ftr00200	putative facilitator of salicylate uptake	ModelSEED	null	ModelSEED:msfr.200
ftr00201	AreA (Esterase for aryl ester catabolic pathway) (EC 3.1.1.-)	ModelSEED	null	ModelSEED:msfr.201
ftr00202	AreB (Aryl-alcohol dehydrogenase) (EC 1.1.1.90)	ModelSEED	null	ModelSEED:msfr.202
ftr00204	regulator protein,AreR	ModelSEED	null	ModelSEED:msfr.204
ftr00205	Gentisate 1,2-dioxygenase (EC 1.13.11.4)	ModelSEED	null	ModelSEED:msfr.205
ftr00206	Maleylacetoacetate isomerase (EC 5.2.1.2)	ModelSEED	null	ModelSEED:msfr.206
ftr00207	Fumarylacetoacetase (EC 3.7.1.2)	ModelSEED	null	ModelSEED:msfr.207
ftr00208	Putative n-hydroxybenzoate hydroxylase	ModelSEED	null	ModelSEED:msfr.208
ftr00209	4-hydroxybenzoate transporter	ModelSEED	null	ModelSEED:msfr.209
ftr00210	Fumarylacetoacetate hydrolase family protein	ModelSEED	null	ModelSEED:msfr.210
ftr00211	Maleate cis-trans isomerase (EC 5.2.1.1)	ModelSEED	null	ModelSEED:msfr.211
ftr00212	2-keto-4-pentenoate hydratase/2-oxohepta-3-ene-1,7-dioic acid hydratase (catechol pathway)	ModelSEED	null	ModelSEED:msfr.212
ftr00213	putative 4-hydroxybenzoyl-CoA thioesterase	ModelSEED	null	ModelSEED:msfr.213
ftr00214	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases	ModelSEED	null	ModelSEED:msfr.214
ftr00215	Fumarylacetoacetate (FAA) hydrolase (EC 4.1.1.68)	ModelSEED	null	ModelSEED:msfr.215
ftr00216	4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase (EC 5.3.1.17)	ModelSEED	null	ModelSEED:msfr.216
ftr00217	2-deoxy-D-gluconate 3-dehydrogenase (EC 1.1.1.125)	ModelSEED	null	ModelSEED:msfr.217
ftr00218	2-dehydro-3-deoxygluconate kinase (EC 2.7.1.45)	ModelSEED	null	ModelSEED:msfr.218
ftr00219	Pectin degradation protein KdgF	ModelSEED	null	ModelSEED:msfr.219
ftr00220	Exopolygalacturonate lyase (EC 4.2.2.9)	ModelSEED	null	ModelSEED:msfr.220
ftr00221	Pectate lyase precursor (EC 4.2.2.2)	ModelSEED	null	ModelSEED:msfr.221
ftr00222	Glyoxylate carboligase (EC 4.1.1.47)	ModelSEED	null	ModelSEED:msfr.222
ftr00223	2-hydroxy-3-oxopropionate reductase (EC 1.1.1.60)	ModelSEED	null	ModelSEED:msfr.223
ftr00224	Hydroxypyruvate isomerase (EC 5.3.1.22)	ModelSEED	null	ModelSEED:msfr.224
ftr00225	Serine--glyoxylate aminotransferase (EC 2.6.1.45)	ModelSEED	null	ModelSEED:msfr.225
ftr00226	Hydroxypyruvate reductase (EC 1.1.1.81)	ModelSEED	null	ModelSEED:msfr.226
ftr00227	Tartrate decarboxylase (EC 4.1.1.73)	ModelSEED	null	ModelSEED:msfr.227
ftr00228	D-glycerate 2-kinase (EC 2.7.1.-)	ModelSEED	null	ModelSEED:msfr.228
ftr00229	Pyruvate kinase (EC 2.7.1.40)	ModelSEED	null	ModelSEED:msfr.229
ftr00230	Glycerate kinase (EC 2.7.1.31)	ModelSEED	null	ModelSEED:msfr.230
ftr00231	D-glycerate 3-kinase (EC 2.7.1.31), plant type	ModelSEED	null	ModelSEED:msfr.231
ftr00232	2-dehydro-3-deoxyglucarate aldolase (EC 4.1.2.20)	ModelSEED	null	ModelSEED:msfr.232
ftr00233	D-glycerate transporter (predicted)	ModelSEED	null	ModelSEED:msfr.233
ftr00234	Surface presentation of antigens protein SpaO	ModelSEED	null	ModelSEED:msfr.234
ftr00235	Surface presentation of antigens protein SpaN (Invasion protein InvJ)	ModelSEED	null	ModelSEED:msfr.235
ftr00236	cell invasion protein SipB	ModelSEED	null	ModelSEED:msfr.236
ftr00237	Invasion protein InvA	ModelSEED	null	ModelSEED:msfr.237
ftr00238	Surface presentation of antigens protein SpaQ	ModelSEED	null	ModelSEED:msfr.238
ftr00239	Cell invasion protein sipC (Effector protein SipC)	ModelSEED	null	ModelSEED:msfr.239
ftr00240	Surface presentation of antigens protein SpaK (Invasion protein InvB)	ModelSEED	null	ModelSEED:msfr.240
ftr00241	Surface presentation of antigens protein SpaS	ModelSEED	null	ModelSEED:msfr.241
ftr00242	Probable ATP synthase SpaL (EC 3.6.3.14) (Invasion protein InvC)	ModelSEED	null	ModelSEED:msfr.242
ftr00243	Chaperone protein SicA (Salmonella invasin chaperone)	ModelSEED	null	ModelSEED:msfr.243
ftr00244	Invasion protein InvE	ModelSEED	null	ModelSEED:msfr.244
ftr00245	Cell invasion protein SipD (Salmonella invasion protein D)	ModelSEED	null	ModelSEED:msfr.245
ftr00246	Surface presentation of antigens protein SpaP	ModelSEED	null	ModelSEED:msfr.246
ftr00247	Surface presentation of antigens protein SpaR	ModelSEED	null	ModelSEED:msfr.247
ftr00248	Protein InvG precursor	ModelSEED	null	ModelSEED:msfr.248
ftr00249	Surface presentation of antigens protein SpaM	ModelSEED	null	ModelSEED:msfr.249
ftr00250	Streptococcal pyrogenic exotoxin A (SpeA)	ModelSEED	null	ModelSEED:msfr.250
ftr00251	Streptococcal pyrogenic exotoxin C (SpeC)	ModelSEED	null	ModelSEED:msfr.251
ftr00252	Streptococcal pyrogenic exotoxin H (SpeH)	ModelSEED	null	ModelSEED:msfr.252
ftr00253	Streptococcal pyrogenic exotoxin I (SpeI)	ModelSEED	null	ModelSEED:msfr.253
ftr00254	Streptococcal pyrogenic exotoxin K (SpeK)	ModelSEED	null	ModelSEED:msfr.254
ftr00255	Streptococcal pyrogenic exotoxin L (SpeL)	ModelSEED	null	ModelSEED:msfr.255
ftr00257	Streptococcal superantigen A (SSA)	ModelSEED	null	ModelSEED:msfr.257
ftr00260	Staphylococcal enterotoxin C3	ModelSEED	null	ModelSEED:msfr.260
ftr00262	Streptodornase D	ModelSEED	null	ModelSEED:msfr.262
ftr00263	Mitogenic factor 2	ModelSEED	null	ModelSEED:msfr.263
ftr00264	Mitogenic factor 3	ModelSEED	null	ModelSEED:msfr.264
ftr00265	Mitogenic factor 4	ModelSEED	null	ModelSEED:msfr.265
ftr00267	Methanol dehydrogenase large subunit protein (EC 1.1.99.8)	ModelSEED	null	ModelSEED:msfr.267
ftr00268	Cytochrome c-L precursor (Cytochrome c551I) (Cytochrome c552)	ModelSEED	null	ModelSEED:msfr.268
ftr00269	MxaJ, protein involved in methanol oxidation	ModelSEED	null	ModelSEED:msfr.269
ftr00270	MxaS, protein involved in methanol oxidation	ModelSEED	null	ModelSEED:msfr.270
ftr00271	Methanol dehydrogenase, small subunit (EC 1.1.99.8)	ModelSEED	null	ModelSEED:msfr.271
ftr00272	MxaD protein	ModelSEED	null	ModelSEED:msfr.272
ftr00273	Methanol dehydrogenase regulatory protein MoxR	ModelSEED	null	ModelSEED:msfr.273
ftr00274	MxaL protein	ModelSEED	null	ModelSEED:msfr.274
ftr00275	Methanol utilization control regulatory protein MoxX	ModelSEED	null	ModelSEED:msfr.275
ftr00276	Methanol utilization control sensor protein MoxY (EC 2.7.3.-)	ModelSEED	null	ModelSEED:msfr.276
ftr00277	MxaC, protein involved in Ca2+ insertion into methanol dehydrogenase	ModelSEED	null	ModelSEED:msfr.277
ftr00278	MxaK protein	ModelSEED	null	ModelSEED:msfr.278
ftr00279	MxaA protein	ModelSEED	null	ModelSEED:msfr.279
ftr00280	MxaH	ModelSEED	null	ModelSEED:msfr.280
ftr00281	Crotonobetainyl-CoA dehydrogenase (EC 1.3.99.-)	ModelSEED	null	ModelSEED:msfr.281
ftr00282	L-carnitine dehydratase (EC:4.2.1.89)	ModelSEED	null	ModelSEED:msfr.282
ftr00283	Crotonobetaine carnitine-CoA ligase (EC 6.3.2.-)	ModelSEED	null	ModelSEED:msfr.283
ftr00284	Carnitine racemase (EC 5.-.-.-)	ModelSEED	null	ModelSEED:msfr.284
ftr00285	Carnitinyl-CoA dehydratase (EC 4.2.1.-)	ModelSEED	null	ModelSEED:msfr.285
ftr00286	FixA protein	ModelSEED	null	ModelSEED:msfr.286
ftr00288	Transmembrane regulator protein PrtR	ModelSEED	null	ModelSEED:msfr.288
ftr00289	RNA polymerase sigma-54 factor RpoN	ModelSEED	null	ModelSEED:msfr.289
ftr00290	DNA-directed RNA polymerase specialized sigma subunit, sigma24-like	ModelSEED	null	ModelSEED:msfr.290
ftr00291	RNA polymerase sigma-E factor	ModelSEED	null	ModelSEED:msfr.291
ftr00292	putative RNA polymerase sigma factor	ModelSEED	null	ModelSEED:msfr.292
